pid_label,pid,count,examples
location of formation,P740,324,"['<Big Sean, location of formation, Detroit>', '<Lord Huron, location of formation, Los Angeles>', '<Hanson, location of formation, Tulsa>', '<Éditions Albin Michel, location of formation, Paris>', '<Selena Gomez, location of formation, Texas>']"
competition class,P2094,309,"[""<No label, competition class, women's association football>"", ""<2019 FIFA Women's World Cup, competition class, women's association football>"", ""<Racing Besançon, competition class, women's association football>"", ""<2019 SheBelieves Cup, competition class, women's association football>"", ""<Albirex Niigata Ladies, competition class, women's association football>""]"
form of creative work,P7937,306,"['<Happier Than Ever, form of creative work, studio album>', '<Bad, form of creative work, studio album>', '<Ocean Eyes, form of creative work, studio album>', '<When We All Fall Asleep, Where Do We Go?, form of creative work, studio album>', '<Thirteen Reasons Why, form of creative work, novel>']"
legislative body,P194,295,"['<Paris, legislative body, Council of Paris>', '<United States of America, legislative body, United States Congress>', '<Japan, legislative body, National Diet>', '<Sweden, legislative body, Parliament of Sweden>', '<United States of America, legislative body, United States Congress>']"
part of the series,P179,292,"['<2019 Teen Choice Awards, part of the series, Teen Choice Awards>', '<NRJ Music Awards 2019, part of the series, NRJ Music Awards>', '<79th Golden Globe Awards, part of the series, Golden Globe Award>', '<63rd Annual Grammy Awards, part of the series, Grammy Awards>', ""<2019 Kids' Choice Awards, part of the series, Nickelodeon Kids' Choice Awards>""]"
main subject,P921,285,"[""<Billie Eilish: The World's a Little Blurry, main subject, Billie Eilish>"", '<Elle, main subject, fashion magazine>', '<Iron Man, main subject, terrorism>', ""<Billie Eilish: The World's a Little Blurry, main subject, Billie Eilish>"", '<Diane de Poitiers, main subject, Diane de Poitiers>']"
political alignment,P1387,280,"['<Los Angeles Times, political alignment, centre-left>', '<National Rally, political alignment, right-wing>', '<National Rally, political alignment, far-right>', '<Le Monde, political alignment, centre-left>', '<Libération, political alignment, centre-left>']"
head coach,P286,277,"[""<France women's national football team, head coach, Bruno Bini>"", ""<France women's national football team, head coach, Olivier Echouafni>"", ""<France women's national football team, head coach, Élisabeth Loisel>"", '<Olympique Lyonnais, head coach, Sonia Bompastor>', '<Paris Saint-Germain Féminine, head coach, Olivier Echouafni>']"
currency,P38,276,"['<Australia, currency, pound sterling>', '<Australia, currency, Australian dollar>', '<Kingdom of the Netherlands, currency, United States dollar>', '<United States of America, currency, United States dollar>', '<Brazil, currency, Brazilian real>']"
public holiday,P832,268,"['<Australia, public holiday, Christmas>', '<United States of America, public holiday, Independence Day>', '<Brazil, public holiday, Christmas>', '<Italy, public holiday, Christmas>', '<United Kingdom, public holiday, Christmas>']"
located in/on physical feature,P706,261,"['<Brooklyn, located in/on physical feature, Long Island>', '<Norway, located in/on physical feature, Scandinavia>', '<United Kingdom, located in/on physical feature, Great Britain>', '<United Kingdom, located in/on physical feature, British Isles>', '<United Kingdom, located in/on physical feature, Ireland>']"
honorific prefix,P511,252,"['<Prince Ferdinand Philippe, Duke of Orléans, honorific prefix, Serene Highness>', '<Prince Ferdinand Philippe, Duke of Orléans, honorific prefix, Royal Highness>', '<Princess Clémentine, Princess of Koháry, honorific prefix, Serene Highness>', '<Princess Clémentine, Princess of Koháry, honorific prefix, Royal Highness>', '<Louise Marie of Orléans, honorific prefix, Serene Highness>']"
producer,P162,250,"[""<Bellyache, producer, Finneas O'Connell>"", ""<No Time to Die, producer, Finneas O'Connell>"", ""<Come Out and Play, producer, Finneas O'Connell>"", '<Bad, producer, Quincy Jones>', ""<All the Good Girls Go to Hell, producer, Finneas O'Connell>""]"
publisher,P123,237,"['<Elle, publisher, Hachette>', '<Billboard 200, publisher, Billboard>', '<Billboard Hot 100, publisher, Billboard>', '<Bubbling Under Hot 100, publisher, Billboard>', '<Le Point, publisher, Kering>']"
production company,P272,237,"['<The West Wing, production company, Warner Bros.>', '<Everything, Everything, production company, Warner Bros.>', '<Everything, Everything, production company, Metro-Goldwyn-Mayer>', '<Friends, production company, Warner Bros. Television Studios>', '<Iron Man, production company, Paramount Pictures>']"
sports discipline competed in,P2416,228,"['<Anouska Koster, sports discipline competed in, road bicycle racing>', '<Ellen van Dijk, sports discipline competed in, road bicycle racing>', '<Ellen van Dijk, sports discipline competed in, track cycling>', '<Cecilie Uttrup Ludwig, sports discipline competed in, road bicycle racing>', '<Lizzie Deignan, sports discipline competed in, road bicycle racing>']"
replaced by,P1366,220,"['<Kingdom of Pamplona, replaced by, Kingdom of Navarre>', '<Crown of Aragon, replaced by, Kingdom of France>', ""<UCI Women's Road World Cup, replaced by, UCI Women's World Tour>"", '<IAAF Golden League, replaced by, Diamond League>', '<Russian Soviet Federative Socialist Republic, replaced by, Russia>']"
office held by head of government,P1313,218,"['<Australia, office held by head of government, Prime Minister of Australia>', '<United States of America, office held by head of government, President of the United States>', '<Brazil, office held by head of government, President of Brazil>', '<Canada, office held by head of government, Prime Minister of Canada>', '<United Kingdom, office held by head of government, Prime Minister of the United Kingdom>']"
original broadcaster,P449,217,"['<13 Reasons Why, original broadcaster, Netflix>', '<The West Wing, original broadcaster, NBC>', '<Euphoria, original broadcaster, HBO>', ""<Billie Eilish: The World's a Little Blurry, original broadcaster, Apple TV+>"", '<63rd Annual Grammy Awards, original broadcaster, CBS>']"
anthem,P85,210,"['<United States of America, anthem, The Star-Spangled Banner>', '<United States of America, anthem, The Star-Spangled Banner>', '<France, anthem, La Marseillaise>', '<France, anthem, La Marseillaise>', '<France, anthem, La Marseillaise>']"
military rank,P410,209,"['<Charles I Louis, Elector Palatine, military rank, general>', '<Louis Philippe I, Duke of Orléans, military rank, general>', '<Henri, Duke of Joyeuse, military rank, Marshal of France>', '<Charles Emmanuel of Savoy, Duke of Nemours, military rank, general>', '<Louis Armand II, Prince of Conti, military rank, general>']"
voice type,P412,202,"['<Donald Glover, voice type, tenor>', '<Ariana Grande, voice type, soprano>', '<Demi Lovato, voice type, soprano>', '<Jennifer Lopez, voice type, mezzo-soprano>', '<Marina Diamandis, voice type, mezzo-soprano>']"
highest judicial authority,P209,200,"['<United Kingdom, highest judicial authority, House of Lords>', '<Belgium, highest judicial authority, Constitutional Court of Belgium>', '<France, highest judicial authority, Court of Audit>', '<France, highest judicial authority, Constitutional Council of France>', '<France, highest judicial authority, Court of Cassation>']"
sexual orientation,P91,198,"['<AURORA, sexual orientation, bisexuality>', '<Madonna, sexual orientation, bisexuality>', '<Låpsley, sexual orientation, bisexuality>', '<Halsey, sexual orientation, bisexuality>', '<Melanie Martinez, sexual orientation, bisexuality>']"
mountains classification,P4320,195,"[""<2013 Giro d'Italia Femminile, mountains classification, Tatiana Guderzo>"", ""<2013 Giro d'Italia Femminile, mountains classification, Tiffany Cromwell>"", ""<2013 Giro d'Italia Femminile, mountains classification, Alena Amialiusik>"", ""<2013 Giro d'Italia Femminile, mountains classification, Evelyn Stevens>"", ""<2013 Giro d'Italia Femminile, mountains classification, Marianne Vos>""]"
officeholder,P1308,194,"['<First Secretary of the French Socialist Party, officeholder, Olivier Faure>', '<Prime Minister of France, officeholder, Jean Castex>', '<Prime Minister of France, officeholder, Élisabeth Borne>', '<First Secretary of the French Socialist Party, officeholder, Olivier Faure>', '<President of the European Commission, officeholder, Jacques Delors>']"
political ideology,P1142,193,"['<Black Lives Matter, political ideology, anti-racism>', '<Demi Lovato, political ideology, feminism>', '<Selena Gomez, political ideology, Black Lives Matter>', '<Le Figaro, political ideology, conservatism>', '<The Daily Telegraph, political ideology, conservatism>']"
archives at,P485,192,"['<Marie Curie, archives at, Bibliothèque nationale de France>', '<Émilie du Châtelet, archives at, Haute-Marne>', '<Henri-Georges Clouzot, archives at, Cinémathèque Française>', '<Cannes Film Festival, archives at, Cinémathèque Française>', '<Victor Hugo, archives at, Bibliothèque nationale de France>']"
has subsidiary,P355,188,"['<House of Burgundy - Portugal, has subsidiary, House of Aviz>', '<Amazon, has subsidiary, Goodreads>', '<Amazon, has subsidiary, Amazon Prime Video>', '<Amazon, has subsidiary, Box Office Mojo>', '<Amazon, has subsidiary, Amazon Studios>']"
parent organization,P749,182,"['<Gucci, parent organization, Kering>', '<Tiffany & Co., parent organization, LVMH>', '<Apple TV+, parent organization, Apple>', '<Fendi, parent organization, LVMH>', '<House of Aviz, parent organization, House of Burgundy - Portugal>']"
office contested,P541,168,"['<1945 French legislative election, office contested, Prime Minister of France>', '<1945 French legislative election, office contested, member of the French National Assembly>', '<1918 United Kingdom general election, office contested, Prime Minister of the United Kingdom>', '<1943 Australian federal election, office contested, Prime Minister of Australia>', '<2007 French legislative election, office contested, member of the French National Assembly>']"
allegiance,P945,168,"['<Prince Ferdinand Philippe, Duke of Orléans, allegiance, France>', '<García Sánchez I of Pamplona, allegiance, Kingdom of Pamplona>', '<García Sánchez I of Pamplona, allegiance, Kingdom of Pamplona>', '<Valentina Tereshkova, allegiance, Russia>', '<Charles V, Duke of Lorraine, allegiance, Holy Roman Empire>']"
crew member(s),P1029,165,"['<Polaris Dawn, crew member(s), Anna Menon>', '<Polaris Dawn, crew member(s), Sarah Gillis>', '<Shenzhou 10, crew member(s), Wang Yaping>', '<STS-102, crew member(s), Susan J. Helms>', '<STS-115, crew member(s), Heidemarie Stefanyshyn-Piper>']"
astronaut mission,P450,164,"['<Valentina Tereshkova, astronaut mission, Vostok 6>', '<Claudie Haigneré, astronaut mission, Soyuz TM-33>', '<Claudie Haigneré, astronaut mission, Soyuz TM-24>', '<Barbara Morgan, astronaut mission, STS-118>', '<Jessica Meir, astronaut mission, Soyuz MS-15>']"
operating area,P2541,162,"['<Uber Eats, operating area, Sacramento>', '<Uber Eats, operating area, Strasbourg>', '<Uber Eats, operating area, Mumbai>', '<Uber Eats, operating area, Edmonton>', '<Uber Eats, operating area, Lausanne>']"
facet of,P1269,155,"['<anxiety, facet of, psychology>', '<Record Store Day, facet of, record shop>', ""<2009 in women's road cycling, facet of, road bicycle racing>"", ""<2008 in women's road cycling, facet of, road bicycle racing>"", ""<2012 in women's road cycling, facet of, road bicycle racing>""]"
participating team,P1923,152,"[""<2012 Giro d'Italia Femminile, participating team, Specialized-Lululemon 2012>"", ""<2014 Giro d'Italia Femminile, participating team, Specialized-Lululemon 2014>"", '<La Flèche Wallonne Femmes 2012, participating team, Specialized-Lululemon 2012>', '<2014 Ladies Tour of Norway, participating team, Specialized-Lululemon 2014>', '<La Flèche Wallonne Femmes 2014, participating team, Specialized-Lululemon 2014>']"
league,P118,150,"['<Kobe Bryant, league, National Basketball Association>', '<Lille OSC, league, Ligue 1>', '<Albirex Niigata Ladies, league, Nadeshiko League>', '<Lieke Martens, league, Frauen-Bundesliga>', '<Olympique Lyonnais, league, Division 1 Féminine>']"
military branch,P241,148,"['<James Bond, military branch, Royal Navy>', '<François de Vendôme, Duc de Beaufort, military branch, French Navy>', '<Willem II of the Netherlands, military branch, British Army>', '<Jean I, Grand Duke of Luxembourg, military branch, British Army>', '<Elizabeth II, military branch, Auxiliary Territorial Service>']"
official religion,P3075,142,"['<Kingdom of Aragon, official religion, Catholic Church>', '<Kingdom of Aragon, official religion, Catholicism>', '<Kingdom of Pamplona, official religion, Catholic Church>', '<Monaco, official religion, Catholic Church>', '<Monaco, official religion, Catholicism>']"
based on,P144,137,"['<Where Do We Go? World Tour, based on, When We All Fall Asleep, Where Do We Go?>', '<13 Reasons Why, based on, Thirteen Reasons Why>', '<country music, based on, blues>', '<When We All Fall Asleep Tour, based on, When We All Fall Asleep, Where Do We Go?>', '<No label, based on, The School for Wives>']"
operator,P137,135,"['<Apple Music, operator, Apple>', '<Apple TV+, operator, Apple>', '<Apple Music, operator, Apple>', '<Embassy of Switzerland, Paris, operator, Switzerland>', '<Rotten Tomatoes, operator, Warner Bros.>']"
present in work,P1441,124,"['<James Bond, present in work, No Time to Die>', '<Ismene, present in work, Antigone>', '<Figaro, present in work, The Marriage of Figaro>', '<Belle, present in work, Beauty and the Beast>', '<Hermione Granger, present in work, Harry Potter and the Chamber of Secrets>']"
partner in business or sport,P1327,122,"['<Paul McCartney, partner in business or sport, John Lennon>', '<Kanye West, partner in business or sport, Jay-Z>', '<Leonardo DiCaprio, partner in business or sport, Martin Scorsese>', '<Miina Sillanpää, partner in business or sport, Hilja Pärssinen>', '<Hilja Pärssinen, partner in business or sport, Miina Sillanpää>']"
creator,P170,122,"['<Vevo, creator, Sony Music>', '<Glee, creator, Ryan Murphy>', '<Figaro, creator, Pierre Beaumarchais>', '<No label, creator, Maritie and Gilbert Carpentier>', '<Harry Potter and the Order of the Phoenix, creator, David Yates>']"
office held by head of state,P1906,122,"['<United States of America, office held by head of state, President of the United States>', '<Brazil, office held by head of state, President of Brazil>', '<Belgium, office held by head of state, Monarch of the Belgians>', '<United States of America, office held by head of state, President of the United States>', '<Jamaica, office held by head of state, Governor-General of Jamaica>']"
lifestyle,P1576,121,"['<Paul McCartney, lifestyle, vegetarianism>', '<Greta Thunberg, lifestyle, veganism>', '<Kate Nash, lifestyle, vegetarianism>', '<Kate Nash, lifestyle, veganism>', '<Billie Eilish, lifestyle, veganism>']"
indigenous to,P2341,120,"['<Dutch, indigenous to, Walloon Brabant>', '<British English, indigenous to, United Kingdom>', '<French, indigenous to, Walloon Brabant>', '<French, indigenous to, Namur>', '<French, indigenous to, Luxembourg>']"
successful candidate,P991,115,"['<1945 French legislative election, successful candidate, Charles de Gaulle>', '<1918 United Kingdom general election, successful candidate, David Lloyd George>', '<2007 French legislative election, successful candidate, François Fillon>', '<2012 French presidential election, successful candidate, François Hollande>', '<1995 French presidential election, successful candidate, Jacques Chirac>']"
position played on team / speciality,P413,114,"['<Kobe Bryant, position played on team / speciality, small forward>', '<Sanne Cant, position played on team / speciality, cyclo-cross>', '<Eva Lechner, position played on team / speciality, cyclo-cross>', '<Futoshi Ikeda, position played on team / speciality, defender>', '<Homare Sawa, position played on team / speciality, midfielder>']"
conferred by,P1027,114,"['<Grammy Award for Album of the Year, conferred by, National Academy of Recording Arts and Sciences>', '<Grammy Awards, conferred by, National Academy of Recording Arts and Sciences>', '<Grammy Awards, conferred by, National Academy of Recording Arts and Sciences>', '<Grammy Award for Song of the Year, conferred by, National Academy of Recording Arts and Sciences>', '<Grammy Award for Best New Artist, conferred by, National Academy of Recording Arts and Sciences>']"
home venue,P115,112,"['<2020 Summer Olympics, home venue, Q&A Stadium Miyagi>', '<2020 Summer Olympics, home venue, Sapporo Dome>', '<2020 Summer Olympics, home venue, Ajinomoto Stadium>', '<2020 Summer Olympics, home venue, Saitama Stadium 2002>', ""<2019 FIFA Women's World Cup, home venue, Stade Auguste Delaune>""]"
academic degree,P512,112,"['<Kanye West, academic degree, honorary degree>', '<Karen Keskulla Uhlenbeck, academic degree, Doctor of Philosophy>', '<Chien-Shiung Wu, academic degree, Doctor of Philosophy>', '<Jennifer Doudna, academic degree, Doctor of Philosophy>', '<Rosalind Franklin, academic degree, Doctor of Philosophy>']"
composer,P86,108,"[""<Bellyache, composer, Finneas O'Connell>"", '<No Time to Die, composer, Billie Eilish>', ""<No Time to Die, composer, Finneas O'Connell>"", '<Yesterday, composer, Paul McCartney>', '<Yesterday, composer, John Lennon>']"
voice actor,P725,106,"['<Tangled, voice actor, Mandy Moore>', '<Tangled, voice actor, Byron Howard>', '<Tangled, voice actor, Nathan Greno>', '<Tangled, voice actor, Kari Wahlgren>', '<Beauty and the Beast, voice actor, Angela Lansbury>']"
derivative work,P4969,106,"['<Thirteen Reasons Why, derivative work, 13 Reasons Why>', '<La Reine Margot, derivative work, La Reine Margot>', ""<Wuthering Heights, derivative work, Emily Brontë's Wuthering Heights>"", '<Diabolique, derivative work, Diabolique>', '<Harry Potter and the Goblet of Fire, derivative work, Harry Potter and the Goblet of Fire>']"
legal form,P1454,105,"['<Haute-Marne, legal form, department of France>', '<Paris, legal form, department of France>', '<Paris, legal form, department of France>', '<Paris, legal form, department of France>', '<Paris, legal form, department of France>']"
significant person,P3342,100,"['<Nelly Thüring, significant person, Elisabeth Tamm>', '<Nelly Thüring, significant person, Kerstin Hesselgren>', '<Kerstin Hesselgren, significant person, Elisabeth Tamm>', '<Kerstin Hesselgren, significant person, Nelly Thüring>', '<Elisabeth Tamm, significant person, Kerstin Hesselgren>']"
product or material produced or service provided,P1056,100,"['<Tiffany & Co., product or material produced or service provided, jewelry>', '<Amazon, product or material produced or service provided, Internet Movie Database>', '<Amazon, product or material produced or service provided, Amazon Prime Video>', '<Apple, product or material produced or service provided, iPad>', '<Chanel, product or material produced or service provided, perfume>']"
broadcast by,P3301,100,"['<2019 Teen Choice Awards, broadcast by, Fox Broadcasting Company>', '<NRJ Music Awards 2019, broadcast by, NRJ>', '<NRJ Music Awards 2019, broadcast by, TF1>', '<63rd Annual Grammy Awards, broadcast by, CBS>', '<Grammy Awards, broadcast by, CBS>']"
industry,P452,99,"['<Twitter, industry, social media>', '<Tiffany & Co., industry, jewelry>', '<Recording Industry Association of America, industry, music industry>', '<iHeartRadio Music Awards, industry, music industry>', '<Apple TV+, industry, video on demand>']"
lyrics by,P676,97,"['<Bellyache, lyrics by, Billie Eilish>', ""<Bellyache, lyrics by, Finneas O'Connell>"", ""<No Time to Die, lyrics by, Finneas O'Connell>"", '<Yesterday, lyrics by, Paul McCartney>', '<Yesterday, lyrics by, John Lennon>']"
occupant,P466,96,"['<Stade Grimonprez-Jooris, occupant, Lille OSC>', '<Fred-Aubert Stadium, occupant, En avant Guingamp>', '<Hjørring Stadium, occupant, Fortuna Hjørring>', '<PCC-Stadion, occupant, MSV Duisburg>', '<Stade Municipal Georges Lefèvre, occupant, Paris Saint-Germain Féminine>']"
set in period,P2408,95,"['<Resistance, set in period, German military administration in occupied France during World War II>', '<Sunset Boulevard, set in period, 1940s>', '<The Master and Margarita, set in period, 1930s>', '<The Master and Margarita, set in period, 1920s>', '<Bon Voyage, set in period, 1940>']"
motto,P1546,93,"['<Apple TV+, motto, Apple TV+>', '<France, motto, Liberté, égalité, fraternité>', '<France, motto, Liberté, égalité, fraternité>', '<France, motto, Liberté, égalité, fraternité>', '<France, motto, Liberté, égalité, fraternité>']"
source of income,P2770,91,"['<Le Figaro, source of income, advertising>', '<Le Monde, source of income, advertising>', '<Libération, source of income, advertising>', '<Le Figaro, source of income, advertising>', '<Le Monde, source of income, advertising>']"
manner of death,P1196,91,"['<Louis II of Lorraine, cardinal of Guise, manner of death, capital punishment>', '<Yevgenia Bosch, manner of death, suicide>', '<Varvara Yakovleva, manner of death, capital punishment>', '<Mary, Queen of Scots, manner of death, capital punishment>', '<Kate Barry, manner of death, suicide>']"
designated as terrorist by,P3461,90,"['<Russia, designated as terrorist by, North Atlantic Treaty Organization>', '<Russia, designated as terrorist by, Slovakia>', '<Russia, designated as terrorist by, European Parliament>', '<Russia, designated as terrorist by, Czech Republic>', '<Russia, designated as terrorist by, Lithuania>']"
interested in,P2650,90,"['<Pierre Choderlos de Laclos, interested in, ballistics>', '<Benedict XVI, interested in, music>', '<Benedict XVI, interested in, literature>', '<Princess Joséphine-Charlotte of Belgium, interested in, fishing>', '<Princess Margaretha of Luxembourg, interested in, classical music>']"
mount,P3091,83,"['<Elizabeth II, mount, Burmese>', '<Elizabeth II, mount, Burmese>', '<Éric Navet, mount, Quito de Baussy>', '<Eric Lamaze, mount, Hickstead>', '<Piet Raijmakers, mount, Ratina Z>']"
basin country,P205,82,"['<English Channel, basin country, United Kingdom>', '<English Channel, basin country, France>', '<Atlantic Ocean, basin country, Nigeria>', '<Atlantic Ocean, basin country, State of Palestine>', '<Atlantic Ocean, basin country, Panama>']"
located in the present-day administrative territorial entity,P3842,78,"['<Russian Soviet Federative Socialist Republic, located in the present-day administrative territorial entity, Estonia>', '<Russian Soviet Federative Socialist Republic, located in the present-day administrative territorial entity, Kyrgyzstan>', '<Russian Soviet Federative Socialist Republic, located in the present-day administrative territorial entity, Russia>', '<Russian Soviet Federative Socialist Republic, located in the present-day administrative territorial entity, Azerbaijan>', '<Russian Soviet Federative Socialist Republic, located in the present-day administrative territorial entity, Uzbekistan>']"
has cause,P828,78,"['<major depressive disorder, has cause, genetics>', '<COVID-19 pandemic, has cause, SARS-CoV-2>', '<World War II, has cause, Adolf Hitler>', '<HIV/AIDS, has cause, HIV>', '<primary deficit, has cause, public expenditure>']"
has written for,P6872,77,"[""<Séverine, has written for, L'Humanité>"", '<Alexandre Dumas, has written for, Revue des Deux Mondes>', ""<Cynthia Fleury, has written for, L'Humanité>"", '<Victor Hugo, has written for, Revue des Deux Mondes>', '<Renaud Dély, has written for, Libération>']"
opposite of,P461,77,"['<short film, opposite of, feature film>', '<feminism, opposite of, sexism>', '<United States House of Representatives, opposite of, United States Senate>', '<United States Senate, opposite of, United States House of Representatives>', '<House of Commons, opposite of, House of Lords>']"
authority,P797,73,"['<Paris, authority, municipality of Paris>', '<cyclo-cross, authority, Union Cycliste Internationale>', '<track cycling, authority, Union Cycliste Internationale>', '<road bicycle racing, authority, Union Cycliste Internationale>', '<athletics, authority, World Athletics>']"
young rider classification,P4323,73,"['<2018 BeNe Ladies Tour, young rider classification, Elisa Balsamo>', ""<2013 Giro d'Italia Femminile, young rider classification, Pauline Ferrand-Prévot>"", ""<2013 Giro d'Italia Femminile, young rider classification, Anna van der Breggen>"", ""<2021 Women's Liège–Bastogne–Liège, young rider classification, Lorena Wiebes>"", ""<2012 Giro d'Italia Femminile, young rider classification, Elisa Longo Borghini>""]"
stepparent,P3448,72,"['<Catherine of Aragon, stepparent, Germaine of Foix>', '<Catherine of Aragon, stepparent, Germaine of Foix>', '<Mary I of England, stepparent, Catherine Parr>', '<Mary I of England, stepparent, Anne of Cleves>', '<Mary I of England, stepparent, Jane Seymour>']"
movement,P135,71,"['<Anahita Ratebzad, movement, feminism>', '<Berthe Morisot, movement, Impressionism>', '<Hilma af Klint, movement, abstract art>', '<Amelia Earhart, movement, feminism>', '<Alexandre Dumas, movement, French Romanticism>']"
destination point,P1444,69,"['<When We All Fall Asleep Tour, destination point, Mexico City>', '<2017 Lotto Belisol Belgium Tour, destination point, Geraardsbergen>', ""<2021 Women's Liège–Bastogne–Liège, destination point, Liège>"", ""<2017 The Women's Tour, destination point, London>"", '<2016 Lotto Belgium Tour, destination point, Geraardsbergen>']"
executive body,P208,68,"['<United Kingdom, executive body, Government of the United Kingdom>', '<France, executive body, Government of France>', '<France, executive body, Government of France>', '<France, executive body, Government of France>', '<France, executive body, Government of France>']"
separated from,P807,67,"['<Canada, separated from, United Kingdom>', '<Canada, separated from, United Kingdom>', '<Canada, separated from, United Kingdom of Great Britain and Ireland>', '<Russia, separated from, Soviet Union>', '<Russia, separated from, Soviet Union>']"
illustrator,P110,65,"['<The Clue in the Crossword Cipher, illustrator, Albert Chazelle>', '<The Moonstone Castle Mystery, illustrator, Albert Chazelle>', '<Captive Witness, illustrator, Georges Lévis>', '<The Password to Larkspur Lane, illustrator, Albert Chazelle>', '<No label, illustrator, Philippe Daure>']"
after a work by,P1877,65,"['<Sherlock, after a work by, Arthur Conan Doyle>', '<No label, after a work by, Molière>', '<La Reine Margot, after a work by, Alexandre Dumas>', '<Adolphe, after a work by, Benjamin Constant>', '<Adolphe, after a work by, Benjamin Constant>']"
parliamentary term,P2937,63,"['<Parliament of Finland, parliamentary term, Parliament of Finland>', '<Cresso cabinet, parliamentary term, 9th legislature of the Fifth French Republic>', '<Socialist, Radical, Citizen and Miscellaneous Left, parliamentary term, 6th legislature of the Fifth French Republic>', '<Socialist, Radical, Citizen and Miscellaneous Left, parliamentary term, 9th legislature of the Fifth French Republic>', '<Socialist, Radical, Citizen and Miscellaneous Left, parliamentary term, 12th legislature of the Fifth French Republic>']"
has effect,P1542,58,"['<global warming, has effect, social inequality>', '<SARS-CoV-2, has effect, COVID-19>', '<SARS-CoV-2, has effect, COVID-19 pandemic>', '<airplane, has effect, air pollution>', '<global warming, has effect, social inequality>']"
diocese,P708,58,"['<Paris, diocese, Roman Catholic Archdiocese of Paris>', '<Paris, diocese, Roman Catholic Archdiocese of Paris>', '<Paris, diocese, Roman Catholic Archdiocese of Paris>', '<Port-Royal-des-Champs, diocese, Roman Catholic Archdiocese of Paris>', '<Paris, diocese, Roman Catholic Archdiocese of Paris>']"
coat of arms,P237,56,"['<United Kingdom, coat of arms, royal coat of arms of the United Kingdom>', '<England, coat of arms, Royal Arms of England>', '<United Kingdom, coat of arms, royal coat of arms of the United Kingdom>', '<England, coat of arms, Royal Arms of England>', '<Republic of Ireland, coat of arms, coat of arms of Ireland>']"
studied by,P2579,55,"['<global warming, studied by, climatology>', '<global warming, studied by, climatology>', '<simple algebra, studied by, category theory>', '<Brauer group, studied by, category theory>', '<Betti number, studied by, algebraic topology>']"
field of this occupation,P425,55,"['<dancer, field of this occupation, dance>', '<singer-songwriter, field of this occupation, singing>', '<mathematician, field of this occupation, mathematics>', '<astronomer, field of this occupation, astronomy>', '<philosopher, field of this occupation, philosophy>']"
described by source,P1343,54,"['<New York City, described by source, Encyclopædia Britannica>', '<guitar, described by source, Encyclopædia Britannica>', '<New York City, described by source, Encyclopædia Britannica>', '<New York City, described by source, Encyclopædia Britannica>', '<Siberia, described by source, Encyclopædia Britannica>']"
history of topic,P2184,54,"['<United Kingdom, history of topic, history of the United Kingdom>', '<Austria, history of topic, history of Austria>', '<Belgium, history of topic, history of Belgium>', '<Luxembourg, history of topic, history of Luxembourg>', '<United Kingdom, history of topic, history of the United Kingdom>']"
lowest point,P1589,52,"['<Florida, lowest point, Atlantic Ocean>', '<Brazil, lowest point, Atlantic Ocean>', '<The Bahamas, lowest point, Atlantic Ocean>', '<New Jersey, lowest point, Atlantic Ocean>', '<Rhode Island, lowest point, Atlantic Ocean>']"
start point,P1427,52,"['<Where Do We Go? World Tour, start point, Miami>', ""<2012 Giro d'Italia Femminile, start point, Naples>"", '<2021 Amstel Gold Race (women), start point, Valkenburg aan de Geul>', ""<2012 UCI Road World Championships – Women's road race, start point, Valkenburg>"", '<2019 RideLondon Classique, start point, The Mall>']"
model item,P5869,52,"['<physicist, model item, Stephen Hawking>', '<physicist, model item, Albert Einstein>', '<film director, model item, Jean-Luc Godard>', '<Americans, model item, George W. Bush>', '<Americans, model item, Bob Dylan>']"
director / manager,P1037,51,"['<Mosaert, director / manager, Stromae>', '<Sciences Po, director / manager, Richard Descoings>', '<Sciences Po, director / manager, Frédéric Mion>', '<Ministry of the Economy, Finance and the Recovery Finansdepartementet, director / manager, Bruno Le Maire>', '<Ministry for Europe and Foreign Affairs, director / manager, Jean-Yves Le Drian>']"
business division,P199,51,"['<BBC, business division, BBC News>', '<Académie Française, business division, French>', '<CBS News, business division, CBS>', '<BBC, business division, BBC News>', '<BBC, business division, BBC News>']"
sponsor,P859,51,"['<Pauline Ferrand-Prévot, sponsor, Red Bull>', '<Diamond League, sponsor, Samsung>', '<Camp Nou, sponsor, Spotify>', '<Olympique Lyonnais, sponsor, Adidas AG>', '<Céline Dion, sponsor, Caesars Palace>']"
signatory,P1891,51,"['<Treaty of Berlin of 1878, signatory, Austria-Hungary>', '<Treaty of Berlin of 1878, signatory, German Empire>', '<Treaty of Berlin of 1878, signatory, French Third Republic>', '<Treaty of Berlin of 1878, signatory, Kingdom of Italy>', '<Treaty of Berlin of 1878, signatory, Russian Empire>']"
flag,P163,49,"['<France, flag, flag of France>', '<France, flag, flag of France>', '<France, flag, flag of France>', '<France, flag, flag of France>', '<France, flag, flag of France>']"
practiced by,P3095,48,"['<philosophy, practiced by, philosopher>', '<aviation, practiced by, aircraft pilot>', '<economics, practiced by, economist>', '<philosophy, practiced by, philosopher>', '<mathematics, practiced by, mathematician>']"
